"Island","Country","Province"
"Antigua","AG","Antigua and Barbuda"
"Barbuda","AG","Antigua and Barbuda"
"Tutuila","AMSA","American Samoa"
"Aruba","ARU","Aruba"
"Melville Island","AUS","Northern Territory"
"Cangaroo Island","AUS","South Australia"
"Tasmania","AUS","Tasmania"
"Anguilla","AXA","Anguilla"
"Barbados","BDS","Barbados"
"Grand Bermuda","BERM","Bermuda"
"Bahrain","BRN","Bahrain"
"Borneo","BRU","Brunei"
"New Providence","BS","Bahamas"
"Tortola","BVIR","British Virgin Islands"
"Cuba","C","Ciego de Avila"
"Cuba","C","Cienfuegos"
"Cuba","C","Ciudad de la Habana"
"Cuba","C","Granma"
"Cuba","C","Guantanamo"
"Cuba","C","Holguin"
"Cuba","C","La Habana"
"Cuba","C","Las Tunas"
"Cuba","C","Matanzas"
"Cuba","C","Pinar del Rio"
"Cuba","C","Sancti Spiritus"
"Cuba","C","Santiago de Cuba"
"Cuba","C","Villa Clara"
"Cayman Brac","CAYM","Cayman Islands"
"Grand Cayman","CAYM","Cayman Islands"
"Little Cayman","CAYM","Cayman Islands"
"Vancouver Island","CDN","British Columbia"
"Newfoundland","CDN","Newfoundland"
"Baffin Island","CDN","Northwest Territories"
"Banks Island","CDN","Northwest Territories"
"Ellesmere Island","CDN","Northwest Territories"
"Prince of Wales Island","CDN","Northwest Territories"
"Southampton Island","CDN","Northwest Territories"
"Victoria Island","CDN","Northwest Territories"
"Manitoulin","CDN","Ontario"
"Rene Levasseur Island","CDN","Ontario"
"Prince Edward Island","CDN","Prince Edward Island"
"Sri Lanka","CL","Sri Lanka"
"Pulau Panjang","COCO","Cocos Islands"
"Anjouan","COM","Comoros"
"Grand Comoro","COM","Comoros"
"Mohilla","COM","Comoros"
"Rarotonga","COOK","Cook Islands"
"Fogo","CV","Cape Verde"
"Santiago","CV","Cape Verde"
"Cyprus","CY","Cyprus"
"Rugen","D","Mecklenburg Vorpommern"
"Usedom","D","Mecklenburg Vorpommern"
"Baltrum","D","Niedersachsen"
"Borkum","D","Niedersachsen"
"Juist","D","Niedersachsen"
"Langeoog","D","Niedersachsen"
"Norderney","D","Niedersachsen"
"Spiekeroog","D","Niedersachsen"
"Wangerooge","D","Niedersachsen"
"Amrum","D","Schleswig Holstein"
"Fehmarn","D","Schleswig Holstein"
"Fohr","D","Schleswig Holstein"
"Helgoland","D","Schleswig Holstein"
"Pellworm","D","Schleswig Holstein"
"Sylt","D","Schleswig Holstein"
"Bornholm","DK","Denmark"
"Falster","DK","Denmark"
"Fuenen","DK","Denmark"
"Langeland","DK","Denmark"
"Lolland","DK","Denmark"
"Seeland","DK","Denmark"
"Hispaniola","DOM","Dominican Republic"
"Formentera","E","Balearic Islands"
"Ibiza","E","Balearic Islands"
"Mallorca","E","Balearic Islands"
"Menorca","E","Balearic Islands"
"Fuerteventura","E","Canary Islands"
"Gomera","E","Canary Islands"
"Gran Canaria","E","Canary Islands"
"Hierro","E","Canary Islands"
"La Palma","E","Canary Islands"
"Lanzarote","E","Canary Islands"
"Teneriffa","E","Canary Islands"
"Pemba","EAT","Mjini Magharibi"
"Sansibar","EAT","Mjini Magharibi"
"Isabela","EC","Ecuador"
"Dagoe","EW","Estonia"
"Oesel","EW","Estonia"
"Corse","F","Corse"
"East Falkland","FALK","Falkland Islands"
"West Falkland","FALK","Falkland Islands"
"Streymoy","FARX","Faroe Islands"
"Vanua Levu","FJI","Fiji"
"Viti Levu","FJI","Fiji"
"Tahiti","FPOL","French Polynesia"
"Ponape","FSM","Micronesia"
"Great Britain","GB","Aberconwy and Colwyn"
"Anglesey","GB","Anglesey"
"Great Britain","GB","Avon"
"Great Britain","GB","Bedfordshire"
"Great Britain","GB","Berkshire"
